user_id,predicted_rail,predicted_phase,gt_rail,gt_phase,v_score,v_margin,confidence,correct
user_1001,rail_1000,b,rail_1000,b,0.9975906922769292,0.04591112982905954,HIGH,True
user_1002,rail_1000,b,rail_1000,b,0.9975796585012181,0.04570775387398074,HIGH,True
user_1003,rail_1000,b,rail_1000,b,0.9976030947870188,0.046147068499493016,HIGH,True
user_1004,rail_1000,a,rail_1000,a,0.997650279228203,0.046090404316307065,HIGH,True
user_1005,rail_1000,a,rail_1000,a,0.9976314925505231,0.04593012323826462,HIGH,True
user_1006,rail_1000,b,rail_1000,b,0.9976882765223993,0.045834843801182745,HIGH,True
user_1007,rail_1000,b,rail_1000,b,0.9976879251090894,0.04664122251540148,HIGH,True
user_1008,rail_1000,a,rail_1000,a,0.9976974189376151,0.04633105581747654,HIGH,True
user_1009,rail_1000,a,rail_1000,a,0.9976002000455526,0.04653367101690087,HIGH,True
user_1011,rail_1010,c,rail_1010,c,0.9839058296454098,0.18420341113676397,HIGH,True
user_1012,rail_1010,c,rail_1010,c,0.9831250816456102,0.18670562864137685,HIGH,True
user_1013,rail_1010,c,rail_1010,c,0.9836425513499776,0.18834930071932177,HIGH,True
user_1014,rail_1010,b,rail_1010,b,0.9838442217438876,0.18708098245931704,HIGH,True
user_1015,rail_1010,c,rail_1010,c,0.9828896624362954,0.18784827178356212,HIGH,True
user_1016,rail_1010,b,rail_1010,b,0.9835140854396262,0.18846457078681011,HIGH,True
user_1017,rail_1010,b,rail_1010,b,0.9825506755709009,0.18908187518358566,HIGH,True
user_1018,rail_1010,c,rail_1010,c,0.9836407767662089,0.18710780364384405,HIGH,True
user_1020,rail_1019,c,rail_1019,c,0.9946618307938127,0.14193098793460202,HIGH,True
user_1021,rail_1019,a,rail_1019,a,0.9944645665376008,0.14085949264085418,HIGH,True
user_1022,rail_1019,c,rail_1019,c,0.8822414427268804,0.03982419349998212,HIGH,True
user_1023,rail_1019,a,rail_1019,a,0.9942491061078851,0.14209947112283372,HIGH,True
user_1024,rail_1019,c,rail_1019,c,0.9946763830859837,0.14017385219517675,HIGH,True
user_1025,rail_1019,c,rail_1019,c,0.9944434796756837,0.1410164357861613,HIGH,True
user_1026,rail_1019,a,rail_1019,a,0.9947596750415416,0.1409621258636049,HIGH,True
user_1027,rail_1019,a,rail_1019,a,0.9943133236796237,0.14027289741708526,HIGH,True
user_1028,rail_1019,c,rail_1019,c,0.8826674550971321,0.038091837011454466,HIGH,True
user_1029,rail_1019,b,rail_1019,b,0.9945852657178468,0.1419901808169992,HIGH,True
user_1031,rail_1030,a,rail_1030,a,0.9920471770457493,0.16591938694006847,HIGH,True
user_1032,rail_1030,b,rail_1030,b,0.991718222814688,0.1674871239842307,HIGH,True
user_1033,rail_1030,b,rail_1030,b,0.9915573833583757,0.16653003333590943,HIGH,True
user_1034,rail_1030,b,rail_1030,b,0.9912468744612426,0.16782090527666016,HIGH,True
user_1035,rail_1030,a,rail_1030,a,0.9919544354319443,0.16790155443584576,HIGH,True
user_1036,rail_1030,b,rail_1030,b,0.991389888614811,0.16879328106115488,HIGH,True
user_1037,rail_1030,a,rail_1030,a,0.9915709432125134,0.16932459712895787,HIGH,True
user_1038,rail_1030,b,rail_1030,b,0.9913890168109145,0.1681539345045049,HIGH,True
user_1039,rail_1030,c,rail_1030,c,0.9918097288321179,0.16601888191017722,HIGH,True
user_1040,rail_1030,c,rail_1030,c,0.9917678627738491,0.165877877635199,HIGH,True
user_1041,rail_1030,a,rail_1030,a,0.9917364709717347,0.17058657624919882,HIGH,True
user_1043,rail_1042,c,rail_1042,c,0.9807010729467565,0.23521608483456347,HIGH,True
user_1044,rail_1042,c,rail_1042,c,0.9801931658388919,0.23630814597131355,HIGH,True
user_1045,rail_1042,b,rail_1042,b,0.9786538059456151,0.23750568444795583,HIGH,True
user_1046,rail_1042,a,rail_1042,a,0.9796430523767361,0.23435747933474183,HIGH,True
user_1047,rail_1042,b,rail_1042,b,0.9790075725565085,0.22976545260303982,HIGH,True
user_1048,rail_1042,b,rail_1042,b,0.9799202307746183,0.23368434190551235,HIGH,True
user_1049,rail_1042,b,rail_1042,b,0.9802978767846284,0.23811623065813314,HIGH,True
user_1050,rail_1042,b,rail_1042,b,0.9799024150551725,0.23726140182924416,HIGH,True
user_1051,rail_1042,b,rail_1042,b,0.9802146564924814,0.2348272852856823,HIGH,True
user_1052,rail_1042,b,rail_1042,b,0.9794695081134591,0.23269158582404448,HIGH,True
user_1053,rail_1042,b,rail_1042,b,0.9805599399305687,0.23480979246419798,HIGH,True
user_1054,rail_1042,a,rail_1042,a,0.9796274289772812,0.23914079025675705,HIGH,True
user_1055,rail_1042,c,rail_1042,c,0.979545055952136,0.23452581537369777,HIGH,True
user_1056,rail_1042,b,rail_1042,b,0.9794181758998486,0.23296641975180155,HIGH,True
user_1057,rail_1042,b,rail_1042,b,0.9797313817311988,0.23706903305010862,HIGH,True
user_1059,rail_1058,a,rail_1058,a,0.998057359691603,0.15571078184556453,HIGH,True
user_1060,rail_1058,b,rail_1058,b,0.9980219094369586,0.15535365618451313,HIGH,True
user_1061,rail_1058,c,rail_1058,c,0.99807183253177,0.15440097134000508,HIGH,True
user_1062,rail_1058,a,rail_1058,a,0.9981122690080296,0.1558259126194277,HIGH,True
user_1063,rail_1058,b,rail_1058,b,0.9980735243823045,0.15601322624900482,HIGH,True
user_1064,rail_1058,a,rail_1058,a,0.9980742450818479,0.15694116216019138,HIGH,True
user_1065,rail_1058,a,rail_1058,a,0.9980379858247526,0.15534696041251284,HIGH,True
user_1066,rail_1058,a,rail_1058,a,0.9980239174696821,0.15548802456366229,HIGH,True
user_1067,rail_1058,a,rail_1058,a,0.9981340772192918,0.1561337312435892,HIGH,True
user_1068,rail_1058,c,rail_1058,c,0.9980704924079418,0.15592645408647532,HIGH,True
user_1069,rail_1058,a,rail_1058,a,0.9979296139457986,0.1551114884777961,HIGH,True
user_1070,rail_1058,a,rail_1058,a,0.9980500634928737,0.15556764051690963,HIGH,True
user_1072,rail_1019,c,rail_1071,c,0.9079522693779067,0.0725793029741254,HIGH,False
user_1073,rail_1071,a,rail_1071,a,0.9923605725703079,0.11019304915675232,HIGH,True
user_1074,rail_1019,a,rail_1071,a,0.9069303285482685,0.0716153744321697,HIGH,False
user_1075,rail_1071,c,rail_1071,c,0.9925362866321426,0.11001519478504973,HIGH,True
user_1076,rail_1071,c,rail_1071,c,0.9925815987288339,0.1099777808524488,HIGH,True
user_1077,rail_1071,c,rail_1071,c,0.9923510547403052,0.11034440671420187,HIGH,True
user_1078,rail_1071,a,rail_1071,a,0.9924311019315674,0.11037126974015232,HIGH,True
user_1079,rail_1071,c,rail_1071,c,0.9925116106036312,0.10897085804121753,HIGH,True
user_1080,rail_1071,c,rail_1071,c,0.9927074515737994,0.10978383512659995,HIGH,True
user_1081,rail_1019,a,rail_1071,a,0.9055751976602607,0.07294939412493573,HIGH,False
user_1082,rail_1071,c,rail_1071,c,0.9923149840831993,0.10998205437643838,HIGH,True
user_1083,rail_1071,a,rail_1071,a,0.9922031878653078,0.10987075835212723,HIGH,True
user_1084,rail_1071,b,rail_1071,b,0.9927276272832538,0.11062272245597737,HIGH,True
user_1085,rail_1071,c,rail_1071,c,0.9928420897466114,0.11028418002509754,HIGH,True
user_1086,rail_1071,b,rail_1071,b,0.9925851690859686,0.10995827098565536,HIGH,True
user_1087,rail_1071,a,rail_1071,a,0.9927167944022414,0.10922662225960256,HIGH,True
user_1089,rail_1088,c,rail_1088,c,0.995887597232631,0.05065808296250318,HIGH,True
user_1090,rail_1088,a,rail_1088,a,0.9956816162406079,0.05179608005675351,HIGH,True
user_1091,rail_1088,b,rail_1088,b,0.9957032349501872,0.051393436031862194,HIGH,True
user_1092,rail_1088,a,rail_1088,a,0.995770658749304,0.05091862793090762,HIGH,True
user_1093,rail_1088,c,rail_1088,c,0.9958121682592413,0.05055653506212199,HIGH,True
user_1094,rail_1088,c,rail_1088,c,0.9110961157006011,0.000976780052969639,MED,True
user_1095,rail_1088,b,rail_1088,b,0.9958857591398828,0.05152056002891736,HIGH,True
user_1096,rail_1088,a,rail_1088,a,0.9957716913588623,0.05077850985716592,HIGH,True
user_1097,rail_1088,c,rail_1088,c,0.9959428001941186,0.05075315540111225,HIGH,True
user_1098,rail_1088,b,rail_1088,b,0.9958850906257504,0.05144858463109081,HIGH,True
user_1099,rail_1088,c,rail_1088,c,0.9955078526933608,0.05112344206038333,HIGH,True
user_1100,rail_1088,c,rail_1088,c,0.9957895893177493,0.051571921065672544,HIGH,True
user_1101,rail_1088,a,rail_1088,a,0.9957304183812347,0.050920934419167674,HIGH,True
user_1102,rail_1088,c,rail_1088,c,0.9956862253608657,0.05035112647025819,HIGH,True
user_1103,rail_1088,a,rail_1088,a,0.9959090880049192,0.0509459428498622,HIGH,True
user_1104,rail_1088,c,rail_1088,c,0.9062431169500815,0.005904471719641258,MED,True
user_1105,rail_1088,b,rail_1088,b,0.9956856913469654,0.05111336658323451,HIGH,True
user_1106,rail_1088,c,rail_1088,c,0.9110089751004706,0.0013458202988624324,MED,True
user_1107,rail_1088,a,rail_1088,a,0.9959148256172766,0.051573341735691614,HIGH,True
user_1109,rail_1108,b,rail_1108,b,0.9907399729209897,0.10916055621334242,HIGH,True
user_1110,rail_1108,c,rail_1108,c,0.9909543609838266,0.11049503768791635,HIGH,True
user_1111,rail_1108,c,rail_1108,c,0.9913806142033408,0.10935667092972945,HIGH,True
user_1112,rail_1108,b,rail_1108,b,0.9907969277156254,0.11009195923657189,HIGH,True
user_1113,rail_1108,c,rail_1108,c,0.9907827867477697,0.10888479013578134,HIGH,True
user_1114,rail_1108,c,rail_1108,c,0.9911140681286135,0.1083318037550478,HIGH,True
user_1115,rail_1108,a,rail_1108,a,0.9913227959699028,0.10883901271872565,HIGH,True
user_1116,rail_1108,c,rail_1108,c,0.9907688300999742,0.11001231270494505,HIGH,True
user_1117,rail_1108,c,rail_1108,c,0.9909534588732831,0.10796876281362278,HIGH,True
user_1118,rail_1108,b,rail_1108,b,0.9911215573239638,0.10815179187659041,HIGH,True
user_1119,rail_1108,b,rail_1108,b,0.9908955831795774,0.10815253260085667,HIGH,True
user_1120,rail_1108,a,rail_1108,a,0.9910160087149434,0.1077617135208555,HIGH,True
user_1122,rail_1121,b,rail_1121,b,0.9867401747283326,0.1540471939895378,HIGH,True
user_1123,rail_1121,b,rail_1121,b,0.986940574002991,0.15555815259753936,HIGH,True
user_1124,rail_1121,a,rail_1121,a,0.9873164834339035,0.15266433520754052,HIGH,True
user_1125,rail_1121,b,rail_1121,b,0.9865262227153277,0.1508620762341708,HIGH,True
user_1126,rail_1121,a,rail_1121,a,0.987100461997309,0.1519916408425207,HIGH,True
user_1127,rail_1121,a,rail_1121,a,0.9864595644410816,0.15692941638017788,HIGH,True
user_1128,rail_1121,b,rail_1121,b,0.9857340979449339,0.1512502542033154,HIGH,True
user_1129,rail_1121,b,rail_1121,b,0.9868199494447557,0.154578234757357,HIGH,True
user_1130,rail_1121,b,rail_1121,b,0.9870196405664678,0.15442537506634468,HIGH,True
user_1131,rail_1121,c,rail_1121,c,0.9865421514508289,0.1549205948058343,HIGH,True
user_1132,rail_1121,b,rail_1121,b,0.9866245701486676,0.15278633023785115,HIGH,True
user_1133,rail_1121,c,rail_1121,c,0.9868327775383752,0.1519031796884568,HIGH,True
user_1134,rail_1121,a,rail_1121,a,0.9861029229524939,0.15221210221723236,HIGH,True
user_1135,rail_1121,c,rail_1121,c,0.9863743531516205,0.1530601186807431,HIGH,True
user_1136,rail_1121,b,rail_1121,b,0.9869444046816688,0.15281587290994358,HIGH,True
user_1137,rail_1121,a,rail_1121,a,0.9865157173021838,0.15337324912944406,HIGH,True
user_1138,rail_1121,a,rail_1121,a,0.9865235530560552,0.1548042181260887,HIGH,True
user_1139,rail_1121,a,rail_1121,a,0.985671212782747,0.1566408491819561,HIGH,True
user_1140,rail_1121,c,rail_1121,c,0.9861936697609772,0.15543645391392158,HIGH,True
user_1142,rail_1141,a,rail_1141,a,0.9968861840094232,0.041186370860953,HIGH,True
user_1143,rail_1141,a,rail_1141,a,0.996843517541089,0.04001242544737471,HIGH,True
user_1144,rail_1141,c,rail_1141,c,0.9968439370623365,0.0402322286344442,HIGH,True
user_1145,rail_1141,c,rail_1141,c,0.9969044763709193,0.04081950557659619,HIGH,True
user_1146,rail_1141,b,rail_1141,b,0.9969641058185676,0.04040586797325685,HIGH,True
user_1147,rail_1141,c,rail_1141,c,0.9967393500147869,0.04075048653322744,HIGH,True
user_1148,rail_1141,a,rail_1141,a,0.9969936154052406,0.04125613491562896,HIGH,True
user_1149,rail_1141,b,rail_1141,b,0.9969001830999382,0.040378286147670805,HIGH,True
