Trigger_Date,2024/01/31
Trigger_Time,T 10:46:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,-0.373,2.102
-41.63,1.773,2.062
-41.60,4.131,2.044
-41.57,6.615,2.009
-41.53,8.763,1.980
-41.50,11.856,1.913
-41.47,12.772,1.930
-41.43,15.108,1.857
-41.40,17.799,1.856
-41.37,19.449,1.816
-41.33,22.120,1.825
-41.30,24.523,1.761
-41.27,26.159,1.740
-41.23,29.139,1.711
-41.20,29.729,1.723
-41.17,33.328,1.696
-41.13,34.481,1.672
-41.10,37.560,1.594
-41.07,38.345,1.595
-41.03,41.172,1.592
-41.00,42.927,1.544
-40.97,44.505,1.556
-40.93,47.662,1.528
-40.90,50.845,1.521
-40.87,52.235,1.484
-40.83,53.874,1.454
-40.80,55.568,1.463
-40.77,58.405,1.442
-40.73,60.588,1.425
-40.70,62.221,1.431
-40.67,64.328,1.377
-40.63,65.955,1.378
-40.60,68.284,1.350
-40.57,69.738,1.361
-40.53,72.841,1.338
-40.50,74.586,1.311
-40.47,75.870,1.346
-40.43,77.353,1.295
-40.40,80.003,1.296
-40.37,81.889,1.266
-40.33,83.601,1.269
-40.30,84.240,1.256
-40.27,86.864,1.261
-40.23,89.009,1.253
-40.20,90.992,1.226
-40.17,91.724,1.236
-40.13,93.891,1.212
-40.10,96.583,1.206
-40.07,98.477,1.203
-40.03,99.002,1.194
-40.00,101.376,1.168
-39.97,103.229,1.168
-39.93,104.855,1.156
-39.90,106.706,1.138
-39.87,108.466,1.136
-39.83,109.423,1.134
-39.80,111.420,1.137
-39.77,112.318,1.102
-39.73,114.859,1.130
-39.70,116.573,1.098
-39.67,118.017,1.136
-39.63,119.677,1.118
-39.60,121.175,1.133
-39.57,121.821,1.082
-39.53,124.147,1.065
-39.50,125.101,1.100
-39.47,125.810,1.076
-39.43,126.726,1.108
-39.40,129.070,1.064
-39.37,131.534,1.078
-39.33,131.720,1.061
-39.30,133.210,1.047
-39.27,134.378,1.033
-39.23,136.216,1.042
-39.20,137.019,1.073
-39.17,138.392,1.042
-39.13,139.593,1.066
-39.10,139.621,1.032
-39.07,142.635,1.030
-39.03,142.031,1.022
-39.00,142.928,1.019
-38.97,144.472,1.025
-38.93,146.218,0.991
-38.90,147.849,1.035
-38.87,148.290,1.014
-38.83,150.143,1.002
-38.80,149.641,0.999
-38.77,149.366,1.023
-38.73,150.581,0.995
-38.70,152.142,0.998
-38.67,153.882,1.011
-38.63,154.996,1.010
-38.60,155.586,0.998
-38.57,155.600,0.954
-38.53,155.568,0.984
-38.50,158.015,0.978
-38.47,158.255,1.001
-38.43,158.990,0.994
-38.40,159.888,0.969
-38.37,160.542,0.944
-38.33,160.467,0.966
-38.30,161.106,0.953
-38.27,162.663,0.939
-38.23,162.976,0.949
-38.20,163.550,0.933
-38.17,162.689,0.951
-38.13,164.030,0.937
-38.10,163.216,0.927
-38.07,165.065,0.942
-38.03,165.792,0.927
-38.00,165.030,0.897
-37.97,166.064,0.918
-37.93,165.817,0.923
-37.90,166.326,0.904
-37.87,166.356,0.892
-37.83,167.265,0.923
-37.80,166.904,0.913
-37.77,168.063,0.920
-37.73,168.132,0.882
-37.70,167.659,0.887
-37.67,167.333,0.909
-37.63,168.143,0.899
-37.60,167.976,0.907
-37.57,168.015,0.896
-37.53,168.227,0.894
-37.50,167.820,0.878
-37.47,168.744,0.897
-37.43,168.236,0.866
-37.40,168.857,0.864
-37.37,169.276,0.867
-37.33,167.328,0.897
-37.30,167.764,0.898
-37.27,167.478,0.889
-37.23,167.622,0.853
-37.20,166.555,0.890
-37.17,166.477,0.872
-37.13,167.329,0.879
-37.10,166.451,0.873
-37.07,166.346,0.874
-37.03,165.892,0.841
-37.00,165.282,0.878
-36.97,164.147,0.867
-36.93,164.985,0.856
-36.90,164.397,0.874
-36.87,163.769,0.888
-36.83,163.454,0.876
-36.80,162.726,0.852
-36.77,162.103,0.857
-36.73,160.849,0.878
-36.70,161.421,0.846
-36.67,160.935,0.760
-36.63,159.956,0.764
-36.60,159.900,0.800
-36.57,158.884,0.792
-36.53,158.523,0.762
-36.50,157.582,0.785
-36.47,156.956,0.753
-36.43,156.077,0.750
-36.40,154.887,0.763
-36.37,155.009,0.756
-36.33,153.117,0.748
-36.30,152.503,0.752
-36.27,151.873,0.754
-36.23,151.076,0.773
-36.20,149.438,0.748
-36.17,148.571,0.757
-36.13,148.322,0.710
-36.10,147.079,0.722
-36.07,146.417,0.706
-36.03,144.483,0.695
-36.00,143.736,0.694
-35.97,142.792,0.687
-35.93,141.423,0.712
-35.90,140.146,0.705
-35.87,139.324,0.680
-35.83,138.376,0.686
-35.80,135.909,0.672
-35.77,134.690,0.654
-35.73,135.159,0.659
-35.70,134.057,0.667
-35.67,130.889,0.643
-35.63,130.665,0.641
-35.60,128.792,0.644
-35.57,127.838,0.616
-35.53,126.252,0.615
-35.50,126.107,0.607
-35.47,123.049,0.573
-35.43,121.907,0.619
-35.40,120.670,0.580
-35.37,118.508,0.601
-35.33,117.219,0.552
-35.30,116.867,0.579
-35.27,114.812,0.513
-35.23,112.536,0.536
-35.20,111.084,0.525
-35.17,110.220,0.529
-35.13,107.691,0.526
-35.10,106.914,0.534
-35.07,105.236,0.497
-35.03,103.663,0.476
-35.00,101.094,0.510
-34.97,99.323,0.485
-34.93,98.322,0.468
-34.90,95.944,0.478
-34.87,94.010,0.460
-34.83,92.402,0.467
-34.80,91.450,0.440
-34.77,89.097,0.450
-34.73,87.671,0.423
-34.70,85.566,0.414
-34.67,84.016,0.436
-34.63,81.882,0.384
-34.60,79.485,0.415
-34.57,77.521,0.386
-34.53,75.902,0.416
-34.50,73.481,0.362
-34.47,72.476,0.370
-34.43,69.531,0.380
-34.40,67.994,0.335
-34.37,65.594,0.347
-34.33,63.876,0.369
-34.30,62.362,0.336
-34.27,59.879,0.309
-34.23,58.784,0.335
-34.20,55.991,0.308
-34.17,53.333,0.287
-34.13,52.190,0.312
-34.10,49.302,0.290
-34.07,47.015,0.284
-34.03,46.355,0.249
-34.00,43.253,0.222
-33.97,41.426,0.231
-33.93,39.467,0.245
-33.90,37.793,0.209
-33.87,34.788,0.205
-33.83,32.738,0.226
-33.80,30.374,0.215
-33.77,28.211,0.162
-33.73,26.472,0.175
-33.70,24.531,0.158
-33.67,22.144,0.197
-33.63,18.790,0.163
-33.60,17.852,0.116
-33.57,15.666,0.123
-33.53,13.307,0.103
-33.50,11.189,0.110
-33.47,8.190,0.094
-33.43,6.029,0.069
-33.40,3.919,0.057
-33.37,2.223,0.037
-33.33,0.758,0.089
-33.30,-3.250,0.058
-33.27,-4.271,0.012
-33.23,-6.698,-0.008
-33.20,-9.073,0.001
-33.17,-11.916,-0.001
-33.13,-12.784,-0.022
-33.10,-15.745,-0.067
-33.07,-17.629,-0.039
-33.03,-20.947,-0.053
-33.00,-21.896,-0.058
-32.97,-23.597,-0.058
-32.93,-26.908,-0.101
-32.90,-27.741,-0.137
-32.87,-30.765,-0.138
-32.83,-33.159,-0.112
-32.80,-35.659,-0.119
-32.77,-37.159,-0.127
-32.73,-38.630,-0.163
-32.70,-42.284,-0.179
-32.67,-42.883,-0.161
-32.63,-46.074,-0.199
-32.60,-47.812,-0.198
-32.57,-49.792,-0.220
-32.53,-51.536,-0.254
-32.50,-54.566,-0.230
-32.47,-56.074,-0.274
-32.43,-58.334,-0.264
-32.40,-59.875,-0.267
-32.37,-62.830,-0.310
-32.33,-64.308,-0.278
-32.30,-65.951,-0.318
-32.27,-68.356,-0.346
-32.23,-70.024,-0.319
-32.20,-71.977,-0.327
-32.17,-75.333,-0.361
-32.13,-75.751,-0.330
-32.10,-78.074,-0.382
-32.07,-79.136,-0.356
-32.03,-81.944,-0.383
-32.00,-83.464,-0.381
-31.97,-85.534,-0.392
-31.93,-86.520,-0.412
-31.90,-89.727,-0.380
-31.87,-91.210,-0.428
-31.83,-92.312,-0.441
-31.80,-93.482,-0.411
-31.77,-96.840,-0.467
-31.73,-97.448,-0.411
-31.70,-99.609,-0.442
-31.67,-100.792,-0.480
-31.63,-103.478,-0.472
-31.60,-105.203,-0.471
-31.57,-107.375,-0.509
-31.53,-107.988,-0.513
-31.50,-110.765,-0.508
-31.47,-111.769,-0.514
-31.43,-112.716,-0.495
-31.40,-114.186,-0.533
-31.37,-116.660,-0.543
-31.33,-116.568,-0.545
-31.30,-118.870,-0.554
-31.27,-119.825,-0.545
-31.23,-121.462,-0.560
-31.20,-123.541,-0.569
-31.17,-124.567,-0.592
-31.13,-126.134,-0.599
-31.10,-127.087,-0.583
-31.07,-129.743,-0.585
-31.03,-130.878,-0.577
-31.00,-132.822,-0.602
-30.97,-133.412,-0.585
-30.93,-133.747,-0.611
-30.90,-135.759,-0.653
-30.87,-135.964,-0.617
-30.83,-138.083,-0.664
-30.80,-139.414,-0.670
-30.77,-140.356,-0.657
-30.73,-140.890,-0.647
-30.70,-143.509,-0.636
-30.67,-144.411,-0.657
-30.63,-145.227,-0.662
-30.60,-146.062,-0.664
-30.57,-147.589,-0.688
-30.53,-147.706,-0.683
-30.50,-148.306,-0.679
-30.47,-149.497,-0.673
-30.43,-150.846,-0.669
-30.40,-151.719,-0.687
-30.37,-152.725,-0.700
-30.33,-153.288,-0.698
-30.30,-153.979,-0.704
-30.27,-154.999,-0.712
-30.23,-155.677,-0.717
-30.20,-156.565,-0.707
-30.17,-157.374,-0.708
-30.13,-158.171,-0.736
-30.10,-158.329,-0.707
-30.07,-158.854,-0.732
-30.03,-160.905,-0.753
-30.00,-160.547,-0.747
-29.97,-161.037,-0.728
-29.93,-161.564,-0.730
-29.90,-162.585,-0.737
-29.87,-163.055,-0.712
-29.83,-162.371,-0.763
-29.80,-164.377,-0.734
-29.77,-163.995,-0.727
-29.73,-163.999,-0.772
-29.70,-165.325,-0.706
-29.67,-165.857,-0.720
-29.63,-166.108,-0.734
-29.60,-166.054,-0.732
-29.57,-167.027,-0.725
-29.53,-166.486,-0.750
-29.50,-166.593,-0.764
-29.47,-166.934,-0.745
-29.43,-167.779,-0.741
-29.40,-167.795,-0.744
-29.37,-167.892,-0.734
-29.33,-167.998,-0.727
-29.30,-169.204,-0.749
-29.27,-168.020,-0.782
-29.23,-169.127,-0.767
-29.20,-169.410,-0.739
-29.17,-168.717,-0.764
-29.13,-168.093,-0.754
-29.10,-168.732,-0.742
-29.07,-168.382,-0.746
-29.03,-167.754,-0.753
-29.00,-168.293,-0.775
-28.97,-168.478,-0.751
-28.93,-167.684,-0.754
-28.90,-167.187,-0.786
-28.87,-167.117,-0.766
-28.83,-167.483,-0.769
-28.80,-166.931,-0.775
-28.77,-167.354,-0.762
-28.73,-166.184,-0.782
-28.70,-165.961,-0.761
-28.67,-165.755,-0.799
-28.63,-165.546,-0.766
-28.60,-164.879,-0.785
-28.57,-164.243,-0.758
-28.53,-162.896,-0.761
-28.50,-162.983,-0.771
-28.47,-162.914,-0.766
-28.43,-162.593,-0.785
-28.40,-161.307,-0.743
-28.37,-160.567,-0.764
-28.33,-160.853,-0.778
-28.30,-160.683,-0.776
-28.27,-158.686,-0.743
-28.23,-158.502,-0.787
-28.20,-157.327,-0.770
-28.17,-157.414,-0.777
-28.13,-157.565,-0.761
-28.10,-155.505,-0.752
-28.07,-155.283,-0.746
-28.03,-154.296,-0.783
-28.00,-153.675,-0.756
-27.97,-152.741,-0.763
-27.93,-152.387,-0.746
-27.90,-151.012,-0.744
-27.87,-150.265,-0.724
-27.83,-149.264,-0.736
-27.80,-147.767,-0.704
-27.77,-146.374,-0.731
-27.73,-145.600,-0.727
-27.70,-145.676,-0.740
-27.67,-143.866,-0.714
-27.63,-142.592,-0.723
-27.60,-141.326,-0.726
-27.57,-139.867,-0.685
-27.53,-139.465,-0.684
-27.50,-138.030,-0.713
-27.47,-136.837,-0.663
-27.43,-135.787,-0.671
-27.40,-133.984,-0.663
-27.37,-132.712,-0.649
-27.33,-131.661,-0.651
-27.30,-130.138,-0.660
