Trigger_Date,2024/01/19
Trigger_Time,T 10:34:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,0.361,2.800
-41.63,1.833,2.730
-41.60,4.157,2.687
-41.57,6.894,2.615
-41.53,8.826,2.599
-41.50,10.390,2.553
-41.47,13.190,2.502
-41.43,16.135,2.419
-41.40,18.287,2.415
-41.37,19.555,2.366
-41.33,21.957,2.315
-41.30,24.170,2.318
-41.27,26.465,2.241
-41.23,28.312,2.212
-41.20,30.096,2.167
-41.17,33.052,2.129
-41.13,34.239,2.081
-41.10,36.695,2.059
-41.07,39.234,2.020
-41.03,41.331,2.006
-41.00,43.216,1.939
-40.97,45.731,1.937
-40.93,48.058,1.906
-40.90,49.852,1.877
-40.87,52.407,1.832
-40.83,54.427,1.833
-40.80,54.318,1.788
-40.77,57.975,1.771
-40.73,61.167,1.768
-40.70,62.067,1.722
-40.67,64.498,1.720
-40.63,65.979,1.686
-40.60,68.482,1.641
-40.57,70.069,1.646
-40.53,72.503,1.639
-40.50,73.748,1.593
-40.47,75.889,1.559
-40.43,78.212,1.548
-40.40,79.896,1.527
-40.37,81.868,1.509
-40.33,83.895,1.525
-40.30,85.815,1.484
-40.27,87.002,1.464
-40.23,88.934,1.447
-40.20,90.823,1.453
-40.17,92.980,1.415
-40.13,95.082,1.414
-40.10,96.683,1.393
-40.07,98.496,1.376
-40.03,99.516,1.369
-40.00,102.211,1.370
-39.97,102.984,1.353
-39.93,104.701,1.340
-39.90,106.847,1.317
-39.87,107.314,1.315
-39.83,109.765,1.289
-39.80,111.758,1.283
-39.77,113.257,1.265
-39.73,114.790,1.301
-39.70,115.357,1.254
-39.67,117.859,1.249
-39.63,119.347,1.227
-39.60,120.114,1.222
-39.57,122.861,1.212
-39.53,122.935,1.203
-39.50,124.869,1.182
-39.47,126.222,1.173
-39.43,127.896,1.151
-39.40,129.283,1.168
-39.37,129.488,1.152
-39.33,133.227,1.141
-39.30,133.352,1.158
-39.27,134.291,1.144
-39.23,135.872,1.160
-39.20,136.172,1.104
-39.17,137.845,1.110
-39.13,138.106,1.104
-39.10,139.475,1.094
-39.07,141.155,1.073
-39.03,142.692,1.068
-39.00,143.912,1.074
-38.97,144.664,1.056
-38.93,145.089,1.087
-38.90,145.808,1.060
-38.87,146.719,1.061
-38.83,148.440,1.032
-38.80,149.044,1.044
-38.77,150.942,1.020
-38.73,151.924,1.037
-38.70,151.990,1.008
-38.67,154.339,1.012
-38.63,154.150,0.997
-38.60,155.236,0.990
-38.57,156.702,0.992
-38.53,157.013,0.989
-38.50,156.850,0.996
-38.47,157.951,0.969
-38.43,158.447,0.962
-38.40,159.493,0.960
-38.37,159.647,0.944
-38.33,160.411,0.967
-38.30,160.538,0.942
-38.27,161.854,0.947
-38.23,162.157,0.896
-38.20,162.684,0.942
-38.17,164.014,0.932
-38.13,164.417,0.924
-38.10,164.319,0.932
-38.07,165.328,0.875
-38.03,164.710,0.923
-38.00,165.769,0.912
-37.97,165.782,0.898
-37.93,166.460,0.895
-37.90,166.442,0.867
-37.87,166.754,0.884
-37.83,167.145,0.876
-37.80,167.358,0.863
-37.77,167.231,0.867
-37.73,167.108,0.862
-37.70,167.845,0.847
