Trigger_Date,2024/01/30
Trigger_Time,T 10:45:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,-0.211,2.897
-41.63,2.039,2.821
-41.60,5.741,2.782
-41.57,6.951,2.735
-41.53,9.151,2.665
-41.50,10.812,2.646
-41.47,13.614,2.597
-41.43,15.222,2.554
-41.40,17.743,2.520
-41.37,20.079,2.446
-41.33,21.355,2.406
-41.30,24.371,2.375
-41.27,26.471,2.343
-41.23,27.464,2.330
-41.20,30.836,2.253
-41.17,33.077,2.222
-41.13,34.287,2.195
-41.10,36.807,2.199
-41.07,38.596,2.142
-41.03,41.807,2.102
-41.00,43.053,2.052
-40.97,44.920,2.042
-40.93,47.833,1.996
-40.90,48.967,1.966
-40.87,51.254,1.948
-40.83,54.408,1.915
-40.80,55.677,1.889
-40.77,58.498,1.860
-40.73,60.370,1.848
-40.70,62.285,1.806
-40.67,63.646,1.780
-40.63,65.384,1.761
-40.60,68.341,1.730
-40.57,69.649,1.713
-40.53,72.220,1.686
-40.50,73.462,1.639
-40.47,75.309,1.637
-40.43,77.643,1.634
-40.40,80.596,1.593
-40.37,81.976,1.586
-40.33,83.574,1.559
-40.30,85.530,1.511
-40.27,87.841,1.538
-40.23,89.807,1.496
-40.20,91.220,1.475
-40.17,91.819,1.459
-40.13,94.023,1.428
-40.10,96.356,1.437
-40.07,98.456,1.416
-40.03,99.587,1.412
-40.00,100.949,1.355
-39.97,102.506,1.375
-39.93,104.303,1.351
-39.90,106.570,1.313
-39.87,108.553,1.332
-39.83,109.611,1.328
-39.80,111.804,1.299
-39.77,112.670,1.263
-39.73,115.182,1.252
-39.70,116.515,1.252
-39.67,117.583,1.221
-39.63,119.483,1.248
-39.60,120.697,1.187
-39.57,121.194,1.202
-39.53,123.356,1.212
-39.50,125.462,1.188
-39.47,126.643,1.180
-39.43,128.519,1.183
-39.40,128.564,1.157
-39.37,131.151,1.146
-39.33,131.210,1.163
-39.30,133.600,1.111
-39.27,133.160,1.135
-39.23,136.237,1.142
-39.20,136.157,1.136
-39.17,137.910,1.129
-39.13,140.239,1.114
-39.10,139.663,1.099
-39.07,141.817,1.089
-39.03,142.437,1.092
-39.00,143.536,1.087
-38.97,144.570,1.084
-38.93,145.651,1.056
-38.90,147.207,1.065
-38.87,147.518,1.090
-38.83,149.304,1.070
-38.80,149.303,1.072
-38.77,150.985,1.037
-38.73,150.816,1.082
-38.70,151.975,1.038
-38.67,153.342,1.053
-38.63,153.938,1.060
-38.60,154.917,1.035
-38.57,155.512,1.039
-38.53,156.354,1.021
-38.50,156.475,1.027
-38.47,157.258,1.006
-38.43,158.964,1.003
-38.40,159.752,1.011
-38.37,160.638,0.998
-38.33,161.191,0.999
-38.30,161.400,0.996
-38.27,161.472,0.961
-38.23,161.997,0.971
-38.20,163.056,0.970
-38.17,162.553,0.979
-38.13,163.655,0.955
-38.10,164.974,0.922
-38.07,165.188,0.958
-38.03,164.624,0.933
-38.00,165.492,0.938
-37.97,165.970,0.947
-37.93,165.240,0.900
-37.90,167.502,0.945
-37.87,166.391,0.917
-37.83,167.438,0.931
-37.80,166.865,0.920
-37.77,167.309,0.900
-37.73,167.762,0.942
-37.70,168.429,0.898
-37.67,169.376,0.880
-37.63,168.318,0.895
-37.60,168.137,0.911
-37.57,168.666,0.880
-37.53,167.781,0.911
-37.50,167.825,0.886
-37.47,168.655,0.877
-37.43,167.641,0.881
-37.40,168.378,0.846
-37.37,168.121,0.861
-37.33,168.007,0.844
-37.30,168.812,0.849
-37.27,167.447,0.852
-37.23,166.781,0.853
-37.20,167.498,0.832
-37.17,167.511,0.834
-37.13,166.392,0.832
-37.10,166.907,0.807
-37.07,165.826,0.829
-37.03,165.615,0.809
-37.00,165.132,0.800
-36.97,165.149,0.824
-36.93,163.709,0.827
-36.90,164.858,0.826
-36.87,164.253,0.785
-36.83,164.202,0.770
-36.80,162.979,0.801
-36.77,162.270,0.793
-36.73,161.908,0.794
-36.70,160.882,0.776
-36.67,161.854,0.675
-36.63,160.442,0.675
-36.60,158.920,0.668
-36.57,159.521,0.664
-36.53,157.265,0.642
-36.50,156.913,0.657
-36.47,156.854,0.649
-36.43,156.131,0.664
-36.40,155.812,0.637
-36.37,154.428,0.645
-36.33,153.442,0.624
-36.30,152.639,0.645
-36.27,151.570,0.616
-36.23,151.472,0.633
-36.20,150.266,0.597
-36.17,148.359,0.614
-36.13,148.034,0.634
-36.10,147.499,0.639
-36.07,146.186,0.614
-36.03,144.941,0.611
-36.00,143.576,0.602
-35.97,142.848,0.598
-35.93,141.556,0.600
-35.90,140.243,0.581
-35.87,139.717,0.586
-35.83,137.834,0.595
-35.80,137.754,0.541
-35.77,135.759,0.595
-35.73,134.925,0.550
-35.70,133.436,0.594
-35.67,131.661,0.564
-35.63,129.728,0.558
-35.60,128.270,0.563
-35.57,128.115,0.526
-35.53,126.641,0.532
-35.50,124.502,0.514
-35.47,123.835,0.532
-35.43,122.347,0.525
-35.40,120.949,0.515
-35.37,118.889,0.489
-35.33,118.480,0.517
-35.30,115.629,0.488
-35.27,115.249,0.472
-35.23,112.659,0.477
-35.20,111.752,0.504
-35.17,110.778,0.496
-35.13,108.149,0.461
-35.10,107.336,0.468
-35.07,104.566,0.463
-35.03,102.784,0.452
-35.00,101.504,0.455
-34.97,99.738,0.433
-34.93,98.024,0.441
-34.90,96.190,0.441
-34.87,94.509,0.423
-34.83,92.464,0.421
-34.80,91.095,0.432
-34.77,89.221,0.401
-34.73,87.705,0.390
-34.70,85.857,0.388
-34.67,83.755,0.408
-34.63,82.324,0.383
-34.60,80.556,0.352
-34.57,76.887,0.365
-34.53,75.231,0.357
-34.50,73.842,0.372
-34.47,71.628,0.330
-34.43,69.436,0.305
-34.40,67.911,0.315
-34.37,65.617,0.351
-34.33,64.088,0.315
-34.30,62.368,0.298
-34.27,60.723,0.296
-34.23,58.781,0.284
-34.20,56.683,0.277
-34.17,53.819,0.283
-34.13,51.315,0.251
-34.10,49.514,0.247
-34.07,47.902,0.266
-34.03,45.151,0.212
-34.00,43.544,0.200
-33.97,42.279,0.217
-33.93,39.630,0.185
-33.90,37.174,0.197
-33.87,34.449,0.171
-33.83,32.252,0.169
-33.80,30.412,0.165
-33.77,29.584,0.154
-33.73,26.556,0.142
-33.70,24.058,0.143
-33.67,22.017,0.110
-33.63,19.777,0.108
-33.60,17.493,0.086
-33.57,14.730,0.084
-33.53,13.160,0.063
-33.50,11.212,0.066
-33.47,9.558,0.028
-33.43,6.419,0.040
-33.40,3.730,0.010
-33.37,3.127,0.002
-33.33,-0.137,-0.012
-33.30,-1.979,-0.017
-33.27,-4.577,-0.043
-33.23,-6.073,-0.037
-33.20,-8.825,-0.074
-33.17,-11.339,-0.060
-33.13,-12.960,-0.051
-33.10,-15.538,-0.081
-33.07,-17.087,-0.101
-33.03,-19.577,-0.108
-33.00,-21.570,-0.134
-32.97,-24.428,-0.128
-32.93,-26.815,-0.189
-32.90,-28.928,-0.167
-32.87,-30.703,-0.162
-32.83,-32.894,-0.154
-32.80,-35.774,-0.201
-32.77,-36.622,-0.182
-32.73,-39.654,-0.213
-32.70,-41.100,-0.227
-32.67,-42.756,-0.229
-32.63,-45.765,-0.258
-32.60,-47.854,-0.258
-32.57,-50.244,-0.253
-32.53,-52.056,-0.265
-32.50,-54.708,-0.286
-32.47,-55.391,-0.273
-32.43,-58.518,-0.278
-32.40,-59.521,-0.285
-32.37,-61.614,-0.320
-32.33,-63.280,-0.332
-32.30,-67.748,-0.302
-32.27,-68.163,-0.320
-32.23,-70.494,-0.330
-32.20,-71.666,-0.358
-32.17,-74.773,-0.362
-32.13,-75.156,-0.333
-32.10,-77.936,-0.370
-32.07,-79.449,-0.358
-32.03,-81.198,-0.387
-32.00,-82.990,-0.376
-31.97,-85.497,-0.399
-31.93,-86.548,-0.412
-31.90,-89.924,-0.399
-31.87,-91.076,-0.401
-31.83,-92.656,-0.397
-31.80,-94.716,-0.412
-31.77,-95.766,-0.442
-31.73,-98.312,-0.433
-31.70,-100.229,-0.433
-31.67,-101.405,-0.430
-31.63,-102.312,-0.446
-31.60,-104.548,-0.470
-31.57,-107.316,-0.438
-31.53,-108.865,-0.441
-31.50,-109.764,-0.454
-31.47,-111.600,-0.486
-31.43,-113.283,-0.442
-31.40,-114.981,-0.468
-31.37,-116.304,-0.486
-31.33,-118.753,-0.493
-31.30,-119.129,-0.479
-31.27,-119.310,-0.517
-31.23,-122.152,-0.522
-31.20,-123.795,-0.505
-31.17,-125.381,-0.521
-31.13,-125.837,-0.515
-31.10,-127.801,-0.517
-31.07,-128.945,-0.532
-31.03,-129.819,-0.523
-31.00,-131.470,-0.557
-30.97,-133.488,-0.566
-30.93,-133.712,-0.563
-30.90,-136.145,-0.558
-30.87,-136.688,-0.542
-30.83,-137.595,-0.588
-30.80,-139.466,-0.559
-30.77,-140.841,-0.592
-30.73,-141.921,-0.614
-30.70,-143.473,-0.600
