Trigger_Date,2024/01/16
Trigger_Time,T 10:31:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,-0.165,2.830
-41.63,1.740,2.802
-41.60,4.648,2.751
-41.57,6.541,2.687
-41.53,8.058,2.635
-41.50,10.777,2.580
-41.47,13.493,2.551
-41.43,15.302,2.507
-41.40,18.490,2.462
-41.37,19.678,2.450
-41.33,21.566,2.381
-41.30,25.070,2.317
-41.27,26.222,2.321
-41.23,29.042,2.283
-41.20,30.402,2.224
-41.17,33.136,2.191
-41.13,34.558,2.153
-41.10,38.290,2.122
-41.07,38.772,2.104
-41.03,42.336,2.057
-41.00,43.638,2.028
-40.97,45.689,1.986
-40.93,47.257,1.948
-40.90,50.425,1.949
-40.87,52.057,1.900
-40.83,54.202,1.861
-40.80,55.774,1.837
-40.77,57.851,1.836
-40.73,58.635,1.802
-40.70,62.346,1.764
-40.67,64.998,1.762
-40.63,66.223,1.698
-40.60,68.551,1.718
-40.57,70.937,1.675
-40.53,71.841,1.672
-40.50,74.051,1.628
-40.47,76.032,1.576
-40.43,77.878,1.589
-40.40,80.201,1.549
-40.37,81.529,1.570
-40.33,83.567,1.544
-40.30,85.656,1.523
-40.27,86.829,1.492
-40.23,89.266,1.484
-40.20,90.987,1.485
-40.17,92.540,1.444
-40.13,95.251,1.439
-40.10,95.343,1.453
-40.07,98.063,1.411
-40.03,100.809,1.411
-40.00,101.931,1.394
-39.97,102.815,1.400
-39.93,105.275,1.390
-39.90,105.671,1.360
-39.87,108.108,1.343
-39.83,109.699,1.367
-39.80,110.384,1.340
-39.77,112.954,1.328
-39.73,114.546,1.318
-39.70,116.353,1.311
-39.67,117.612,1.306
-39.63,118.195,1.323
-39.60,120.823,1.284
-39.57,122.974,1.284
-39.53,124.728,1.307
-39.50,125.047,1.294
-39.47,126.357,1.253
-39.43,127.817,1.279
-39.40,129.010,1.269
-39.37,130.490,1.280
-39.33,131.862,1.286
-39.30,133.245,1.273
-39.27,134.233,1.232
-39.23,136.242,1.245
-39.20,137.157,1.212
-39.17,138.207,1.235
-39.13,138.922,1.235
-39.10,139.680,1.223
-39.07,142.039,1.217
-39.03,143.419,1.213
-39.00,144.373,1.223
-38.97,144.922,1.172
-38.93,146.021,1.218
-38.90,146.639,1.202
-38.87,147.959,1.181
-38.83,149.216,1.199
-38.80,149.127,1.190
-38.77,150.224,1.147
-38.73,151.571,1.126
-38.70,151.971,1.141
-38.67,152.974,1.147
-38.63,154.512,1.139
-38.60,153.507,1.134
-38.57,155.840,1.118
-38.53,157.044,1.144
-38.50,157.610,1.132
-38.47,158.517,1.096
-38.43,158.225,1.083
-38.40,159.620,1.075
-38.37,160.021,1.077
-38.33,160.081,1.071
-38.30,161.515,1.068
-38.27,161.332,1.060
-38.23,162.293,1.047
-38.20,162.873,1.003
-38.17,163.344,1.031
-38.13,163.706,0.978
-38.10,164.829,1.016
-38.07,164.414,0.994
-38.03,164.203,0.992
-38.00,166.474,0.982
-37.97,166.264,0.986
-37.93,165.566,0.955
-37.90,167.166,0.950
-37.87,166.723,0.938
-37.83,167.142,0.942
-37.80,167.311,0.908
-37.77,168.227,0.938
-37.73,167.647,0.933
-37.70,167.615,0.900
-37.67,167.710,0.883
-37.63,168.505,0.900
-37.60,168.324,0.871
-37.57,167.613,0.923
-37.53,168.699,0.923
-37.50,168.062,0.898
-37.47,168.274,0.879
-37.43,168.374,0.917
-37.40,168.328,0.891
-37.37,167.439,0.867
-37.33,167.854,0.902
-37.30,168.425,0.862
-37.27,167.788,0.855
-37.23,167.384,0.889
-37.20,166.779,0.861
-37.17,167.397,0.883
-37.13,167.333,0.876
-37.10,166.979,0.866
-37.07,166.374,0.893
-37.03,165.859,0.844
-37.00,165.425,0.870
-36.97,165.405,0.838
-36.93,164.894,0.837
-36.90,164.124,0.870
-36.87,163.372,0.853
-36.83,163.540,0.865
-36.80,162.607,0.889
-36.77,162.534,0.891
-36.73,161.311,0.867
-36.70,161.622,0.867
-36.67,160.762,0.762
-36.63,159.300,0.790
-36.60,159.934,0.798
-36.57,158.693,0.776
-36.53,158.461,0.796
-36.50,157.226,0.768
-36.47,157.187,0.761
-36.43,155.738,0.755
-36.40,154.697,0.792
-36.37,153.398,0.777
-36.33,152.937,0.769
-36.30,153.174,0.780
-36.27,151.373,0.726
-36.23,149.745,0.767
-36.20,150.422,0.778
-36.17,148.707,0.774
-36.13,147.346,0.761
-36.10,146.639,0.788
-36.07,145.365,0.751
-36.03,144.657,0.758
-36.00,143.066,0.749
-35.97,142.987,0.736
-35.93,141.716,0.743
-35.90,139.479,0.735
-35.87,140.430,0.732
-35.83,138.529,0.687
-35.80,136.509,0.708
-35.77,136.029,0.690
-35.73,134.248,0.698
-35.70,132.292,0.686
-35.67,132.322,0.667
-35.63,130.794,0.643
-35.60,127.873,0.667
-35.57,127.664,0.650
-35.53,126.860,0.618
-35.50,125.426,0.650
-35.47,123.115,0.612
-35.43,121.736,0.643
-35.40,120.752,0.613
-35.37,119.248,0.587
-35.33,118.106,0.585
-35.30,116.289,0.558
-35.27,115.007,0.577
-35.23,112.940,0.571
-35.20,111.839,0.547
-35.17,109.986,0.542
-35.13,108.929,0.534
-35.10,106.583,0.538
-35.07,104.834,0.498
-35.03,103.636,0.500
-35.00,101.828,0.503
-34.97,99.702,0.531
-34.93,98.157,0.496
-34.90,96.377,0.469
-34.87,94.097,0.479
-34.83,92.591,0.456
-34.80,91.089,0.437
-34.77,88.744,0.410
-34.73,88.399,0.455
-34.70,85.491,0.429
-34.67,83.454,0.409
-34.63,82.008,0.405
-34.60,79.882,0.369
-34.57,78.334,0.392
-34.53,76.672,0.361
-34.50,74.076,0.375
-34.47,72.634,0.351
-34.43,69.779,0.337
-34.40,68.922,0.356
-34.37,66.022,0.336
-34.33,64.079,0.294
-34.30,62.499,0.311
-34.27,59.799,0.310
-34.23,58.872,0.316
-34.20,55.994,0.268
-34.17,54.119,0.284
-34.13,51.917,0.265
-34.10,49.665,0.251
-34.07,47.750,0.264
-34.03,44.868,0.247
-34.00,42.917,0.229
-33.97,41.283,0.216
-33.93,39.015,0.252
-33.90,36.728,0.196
-33.87,34.656,0.179
-33.83,32.842,0.197
-33.80,30.650,0.158
-33.77,28.732,0.161
-33.73,26.138,0.183
-33.70,23.873,0.143
-33.67,21.491,0.105
-33.63,19.349,0.160
-33.60,18.253,0.115
-33.57,16.102,0.110
-33.53,13.066,0.076
-33.50,10.421,0.060
-33.47,9.469,0.051
-33.43,5.648,0.046
-33.40,4.230,0.035
-33.37,1.703,0.031
