Trigger_Date,2024/01/22
Trigger_Time,T 10:37:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,0.542,2.857
-41.63,2.075,2.824
-41.60,5.176,2.751
-41.57,6.326,2.724
-41.53,8.765,2.667
-41.50,11.271,2.611
-41.47,13.310,2.586
-41.43,15.285,2.572
-41.40,17.883,2.503
-41.37,19.854,2.473
-41.33,22.680,2.433
-41.30,23.841,2.394
-41.27,25.259,2.364
-41.23,28.885,2.342
-41.20,31.015,2.274
-41.17,32.415,2.255
-41.13,35.089,2.245
-41.10,37.678,2.186
-41.07,39.670,2.144
-41.03,41.495,2.160
-41.00,43.553,2.120
-40.97,45.337,2.032
-40.93,46.599,2.011
-40.90,50.199,2.015
-40.87,52.473,1.977
-40.83,53.961,1.954
-40.80,56.133,1.950
-40.77,57.917,1.917
-40.73,60.264,1.882
-40.70,61.312,1.818
-40.67,64.555,1.816
-40.63,66.114,1.812
-40.60,68.376,1.765
-40.57,70.471,1.757
-40.53,71.930,1.732
-40.50,73.879,1.736
-40.47,76.258,1.711
-40.43,77.412,1.676
-40.40,78.993,1.648
-40.37,80.808,1.620
-40.33,83.558,1.616
-40.30,85.523,1.596
-40.27,87.553,1.581
-40.23,88.754,1.568
-40.20,91.343,1.544
-40.17,92.468,1.551
-40.13,94.968,1.503
-40.10,95.521,1.490
-40.07,98.414,1.493
-40.03,100.374,1.464
-40.00,100.992,1.474
-39.97,104.319,1.426
-39.93,105.116,1.450
-39.90,106.875,1.407
-39.87,107.453,1.433
-39.83,110.219,1.397
-39.80,110.684,1.405
-39.77,112.590,1.432
-39.73,114.503,1.411
-39.70,116.164,1.369
-39.67,117.759,1.395
-39.63,118.681,1.365
-39.60,120.450,1.331
-39.57,122.043,1.340
-39.53,123.730,1.326
-39.50,124.733,1.320
-39.47,125.829,1.347
-39.43,127.997,1.319
-39.40,129.170,1.318
-39.37,131.271,1.298
-39.33,132.397,1.317
-39.30,133.515,1.291
-39.27,134.902,1.324
-39.23,136.442,1.269
-39.20,136.405,1.301
-39.17,138.061,1.295
-39.13,138.816,1.276
-39.10,140.777,1.308
-39.07,141.360,1.308
-39.03,142.937,1.300
-39.00,144.018,1.313
-38.97,144.872,1.304
-38.93,146.769,1.270
-38.90,146.322,1.280
-38.87,146.856,1.271
-38.83,148.725,1.231
-38.80,149.330,1.265
-38.77,151.601,1.248
-38.73,151.135,1.284
-38.70,152.404,1.293
-38.67,153.935,1.256
-38.63,154.512,1.269
-38.60,154.974,1.262
-38.57,155.232,1.273
-38.53,155.918,1.250
-38.50,156.661,1.262
-38.47,158.209,1.238
-38.43,158.875,1.223
-38.40,158.569,1.257
-38.37,160.174,1.212
-38.33,160.935,1.199
-38.30,161.746,1.238
-38.27,161.892,1.201
-38.23,162.481,1.220
-38.20,163.009,1.177
-38.17,162.715,1.189
-38.13,164.105,1.214
-38.10,164.277,1.198
-38.07,165.105,1.171
-38.03,165.247,1.178
-38.00,165.091,1.181
-37.97,165.765,1.183
-37.93,166.065,1.172
-37.90,165.703,1.153
-37.87,166.905,1.170
-37.83,165.730,1.161
-37.80,167.394,1.164
-37.77,167.666,1.118
-37.73,167.139,1.149
-37.70,167.642,1.125
-37.67,166.830,1.099
-37.63,167.959,1.055
-37.60,167.928,1.155
-37.57,167.786,1.124
-37.53,168.395,1.104
-37.50,170.229,1.084
-37.47,168.625,1.082
-37.43,168.113,1.071
-37.40,169.262,1.051
-37.37,168.696,1.042
-37.33,168.047,1.040
-37.30,166.604,1.035
-37.27,168.210,1.026
-37.23,167.453,1.037
-37.20,167.133,1.046
-37.17,167.812,1.033
-37.13,166.171,1.009
-37.10,167.007,0.985
-37.07,165.868,1.001
-37.03,166.247,1.011
-37.00,165.842,1.016
-36.97,164.153,0.991
-36.93,164.638,0.988
-36.90,164.528,1.009
-36.87,164.318,0.993
-36.83,164.038,0.973
-36.80,163.018,0.976
-36.77,161.954,0.934
-36.73,162.455,0.961
-36.70,162.151,0.960
-36.67,161.224,0.864
-36.63,160.321,0.805
-36.60,158.609,0.846
-36.57,158.856,0.853
-36.53,158.386,0.860
-36.50,158.161,0.798
-36.47,156.874,0.836
-36.43,155.955,0.835
-36.40,155.547,0.828
-36.37,154.334,0.845
-36.33,152.942,0.797
-36.30,152.426,0.811
-36.27,151.320,0.806
-36.23,150.496,0.808
-36.20,150.737,0.807
-36.17,148.829,0.828
-36.13,147.577,0.777
-36.10,147.130,0.788
-36.07,146.440,0.809
-36.03,144.568,0.748
-36.00,143.842,0.779
-35.97,142.658,0.788
-35.93,142.251,0.767
-35.90,139.352,0.789
-35.87,138.891,0.747
-35.83,137.981,0.742
-35.80,137.175,0.771
-35.77,136.147,0.721
-35.73,133.524,0.753
-35.70,134.054,0.728
-35.67,133.444,0.718
-35.63,131.043,0.728
-35.60,128.640,0.700
-35.57,127.695,0.716
-35.53,126.794,0.734
-35.50,125.052,0.715
-35.47,124.447,0.709
-35.43,122.428,0.670
-35.40,121.047,0.647
-35.37,118.740,0.661
-35.33,117.209,0.622
-35.30,117.281,0.629
-35.27,114.688,0.650
-35.23,112.544,0.640
-35.20,110.989,0.628
-35.17,110.137,0.652
-35.13,109.224,0.666
-35.10,106.669,0.600
-35.07,104.458,0.594
-35.03,103.370,0.595
-35.00,101.435,0.610
-34.97,99.419,0.579
-34.93,98.767,0.581
-34.90,95.941,0.542
-34.87,94.137,0.509
-34.83,93.001,0.536
-34.80,91.505,0.534
-34.77,89.472,0.520
-34.73,87.302,0.549
-34.70,85.481,0.512
-34.67,83.792,0.527
-34.63,81.622,0.480
-34.60,80.104,0.481
-34.57,78.121,0.463
-34.53,76.080,0.430
-34.50,73.660,0.434
-34.47,72.165,0.450
-34.43,70.161,0.423
-34.40,67.824,0.398
-34.37,65.935,0.386
-34.33,64.124,0.402
-34.30,62.820,0.346
-34.27,59.813,0.346
-34.23,58.739,0.305
-34.20,56.092,0.320
-34.17,53.905,0.327
-34.13,53.208,0.279
-34.10,50.079,0.276
-34.07,47.742,0.266
-34.03,45.930,0.230
-34.00,42.810,0.235
-33.97,41.623,0.257
-33.93,38.560,0.241
-33.90,37.933,0.237
-33.87,35.266,0.205
-33.83,33.332,0.200
-33.80,30.837,0.152
-33.77,28.480,0.159
-33.73,26.037,0.106
