Trigger_Date,2024/01/29
Trigger_Time,T 10:44:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,0.554,2.003
-41.63,1.671,1.954
-41.60,3.997,1.920
-41.57,6.655,1.886
-41.53,8.610,1.910
-41.50,10.520,1.864
-41.47,12.551,1.801
-41.43,15.191,1.780
-41.40,17.821,1.815
-41.37,20.399,1.752
-41.33,20.316,1.718
-41.30,24.320,1.684
-41.27,25.859,1.650
-41.23,28.007,1.653
-41.20,30.387,1.619
-41.17,32.617,1.576
-41.13,35.681,1.611
-41.10,37.564,1.552
-41.07,39.619,1.540
-41.03,41.823,1.524
-41.00,44.219,1.518
-40.97,45.535,1.481
-40.93,47.603,1.474
-40.90,48.959,1.440
-40.87,51.856,1.435
-40.83,53.912,1.420
-40.80,55.438,1.363
-40.77,57.228,1.374
-40.73,60.161,1.401
-40.70,62.770,1.354
-40.67,64.032,1.335
-40.63,65.769,1.336
-40.60,68.638,1.316
-40.57,70.694,1.295
-40.53,72.279,1.309
-40.50,73.349,1.282
-40.47,76.216,1.282
-40.43,77.333,1.248
-40.40,80.009,1.271
-40.37,81.379,1.236
-40.33,83.461,1.194
-40.30,85.631,1.209
-40.27,87.044,1.180
-40.23,88.739,1.185
-40.20,91.541,1.198
-40.17,92.689,1.177
-40.13,94.767,1.181
-40.10,96.064,1.118
-40.07,99.127,1.155
-40.03,99.564,1.153
-40.00,101.452,1.171
-39.97,102.018,1.138
-39.93,104.620,1.142
-39.90,105.614,1.132
-39.87,107.922,1.119
-39.83,111.027,1.083
-39.80,110.956,1.136
-39.77,113.657,1.093
-39.73,114.485,1.094
-39.70,116.512,1.133
-39.67,118.243,1.100
-39.63,119.789,1.094
-39.60,121.434,1.095
-39.57,121.176,1.065
-39.53,122.923,1.081
-39.50,125.955,1.083
-39.47,126.752,1.092
-39.43,127.853,1.082
-39.40,129.615,1.094
-39.37,130.237,1.078
-39.33,132.056,1.091
-39.30,133.256,1.084
-39.27,133.903,1.087
-39.23,135.846,1.065
-39.20,136.142,1.093
-39.17,137.440,1.081
-39.13,139.604,1.055
-39.10,140.720,1.059
-39.07,141.610,1.050
-39.03,144.039,1.054
-39.00,144.314,1.051
-38.97,145.166,1.053
-38.93,146.390,1.026
-38.90,147.001,1.039
-38.87,147.691,1.052
-38.83,148.801,1.038
-38.80,150.128,1.037
-38.77,150.108,1.019
-38.73,152.120,0.999
-38.70,152.453,1.007
-38.67,153.241,0.992
-38.63,154.760,1.004
-38.60,155.056,1.016
-38.57,155.814,1.009
-38.53,156.518,0.992
-38.50,157.779,0.975
-38.47,158.679,0.995
-38.43,158.816,0.998
-38.40,159.275,0.943
-38.37,159.662,1.011
-38.33,160.457,0.960
-38.30,161.145,0.954
-38.27,161.305,0.930
-38.23,161.892,0.949
-38.20,163.160,0.924
-38.17,163.473,0.949
-38.13,162.847,0.949
-38.10,164.028,0.919
-38.07,165.837,0.899
-38.03,164.935,0.932
-38.00,165.584,0.881
-37.97,165.856,0.892
-37.93,166.395,0.891
-37.90,166.666,0.871
-37.87,166.937,0.879
-37.83,167.282,0.863
-37.80,168.011,0.834
-37.77,167.735,0.845
-37.73,167.546,0.862
-37.70,167.820,0.824
-37.67,167.822,0.876
-37.63,167.948,0.840
-37.60,168.070,0.813
-37.57,168.196,0.818
-37.53,168.459,0.801
-37.50,167.169,0.807
-37.47,168.780,0.819
-37.43,168.884,0.851
-37.40,167.503,0.820
-37.37,168.133,0.831
-37.33,168.305,0.801
-37.30,168.532,0.815
-37.27,167.676,0.803
-37.23,167.186,0.804
-37.20,167.503,0.817
-37.17,166.038,0.803
-37.13,166.811,0.775
-37.10,166.713,0.787
-37.07,166.328,0.806
-37.03,166.021,0.832
-37.00,165.402,0.830
-36.97,164.599,0.823
-36.93,164.053,0.866
-36.90,163.681,0.815
-36.87,163.257,0.822
-36.83,162.976,0.818
-36.80,162.844,0.820
-36.77,162.068,0.809
-36.73,161.439,0.823
-36.70,161.281,0.811
-36.67,159.898,0.754
-36.63,159.645,0.771
-36.60,159.663,0.790
-36.57,158.328,0.768
-36.53,157.153,0.745
-36.50,157.647,0.759
-36.47,156.848,0.757
-36.43,155.720,0.772
-36.40,155.681,0.772
-36.37,154.548,0.741
-36.33,152.900,0.778
-36.30,152.523,0.774
-36.27,152.173,0.763
-36.23,150.656,0.779
-36.20,149.719,0.787
-36.17,149.027,0.752
-36.13,147.424,0.766
-36.10,147.586,0.772
-36.07,146.333,0.768
-36.03,144.950,0.747
-36.00,143.970,0.737
-35.97,142.579,0.745
-35.93,140.482,0.785
-35.90,140.527,0.745
-35.87,139.414,0.736
-35.83,137.682,0.731
-35.80,136.180,0.734
-35.77,135.424,0.724
-35.73,134.664,0.705
-35.70,133.039,0.693
-35.67,130.808,0.731
-35.63,130.279,0.691
-35.60,129.340,0.698
-35.57,127.829,0.668
-35.53,126.685,0.697
-35.50,124.726,0.645
-35.47,123.719,0.658
-35.43,122.657,0.638
-35.40,119.686,0.659
-35.37,118.332,0.643
-35.33,117.443,0.611
-35.30,115.887,0.610
-35.27,114.446,0.618
-35.23,113.655,0.614
-35.20,111.589,0.593
-35.17,109.808,0.627
-35.13,107.486,0.580
-35.10,106.394,0.576
-35.07,105.274,0.573
-35.03,103.651,0.582
-35.00,101.393,0.560
-34.97,99.318,0.558
-34.93,98.542,0.570
-34.90,96.348,0.520
-34.87,94.270,0.529
-34.83,92.731,0.518
-34.80,90.897,0.518
-34.77,88.808,0.515
-34.73,87.773,0.477
-34.70,86.315,0.495
-34.67,83.974,0.483
-34.63,82.157,0.499
-34.60,80.712,0.466
-34.57,77.253,0.436
-34.53,75.895,0.438
-34.50,73.585,0.447
-34.47,71.518,0.424
-34.43,70.484,0.391
-34.40,67.682,0.398
-34.37,66.036,0.390
-34.33,64.062,0.360
-34.30,61.292,0.380
-34.27,60.174,0.344
-34.23,57.892,0.361
-34.20,55.303,0.352
-34.17,54.217,0.349
-34.13,51.589,0.309
-34.10,49.789,0.308
-34.07,47.086,0.313
-34.03,45.429,0.290
-34.00,43.054,0.277
-33.97,40.893,0.260
-33.93,39.053,0.241
-33.90,36.947,0.254
-33.87,34.321,0.222
-33.83,33.114,0.187
-33.80,29.863,0.223
-33.77,28.109,0.206
-33.73,25.954,0.185
-33.70,23.813,0.162
-33.67,22.416,0.188
-33.63,19.650,0.164
-33.60,17.364,0.131
-33.57,15.422,0.138
-33.53,13.752,0.086
-33.50,10.437,0.091
-33.47,8.178,0.097
-33.43,7.017,0.088
-33.40,5.308,0.078
-33.37,2.103,0.055
-33.33,0.187,0.021
-33.30,-2.755,0.024
-33.27,-4.021,-0.023
-33.23,-7.292,0.002
-33.20,-7.994,-0.025
-33.17,-10.819,-0.037
-33.13,-13.813,-0.055
-33.10,-15.324,-0.032
-33.07,-17.716,-0.047
-33.03,-19.780,-0.093
-33.00,-21.817,-0.122
-32.97,-24.158,-0.115
-32.93,-25.716,-0.107
-32.90,-28.649,-0.108
-32.87,-30.912,-0.177
-32.83,-32.318,-0.145
-32.80,-35.186,-0.115
-32.77,-37.229,-0.159
-32.73,-39.111,-0.170
-32.70,-41.353,-0.202
-32.67,-42.777,-0.190
-32.63,-45.305,-0.227
-32.60,-47.015,-0.219
-32.57,-49.402,-0.249
-32.53,-52.473,-0.242
-32.50,-53.659,-0.276
-32.47,-54.787,-0.269
-32.43,-57.830,-0.281
-32.40,-59.204,-0.274
-32.37,-62.487,-0.289
-32.33,-64.459,-0.300
-32.30,-65.082,-0.338
-32.27,-67.773,-0.324
-32.23,-70.906,-0.332
-32.20,-71.605,-0.342
-32.17,-74.027,-0.354
-32.13,-75.895,-0.375
-32.10,-76.683,-0.380
-32.07,-78.673,-0.379
-32.03,-81.232,-0.396
-32.00,-84.241,-0.394
-31.97,-85.538,-0.428
-31.93,-86.132,-0.402
-31.90,-89.289,-0.427
-31.87,-90.800,-0.423
-31.83,-93.229,-0.409
-31.80,-94.347,-0.456
-31.77,-96.214,-0.461
-31.73,-98.415,-0.435
-31.70,-100.460,-0.494
-31.67,-101.133,-0.479
-31.63,-103.806,-0.480
-31.60,-104.996,-0.482
-31.57,-107.431,-0.466
-31.53,-108.456,-0.489
-31.50,-109.909,-0.528
-31.47,-110.850,-0.543
-31.43,-113.201,-0.542
-31.40,-115.330,-0.524
-31.37,-116.149,-0.567
-31.33,-117.086,-0.559
-31.30,-118.979,-0.543
-31.27,-120.896,-0.595
-31.23,-122.791,-0.551
-31.20,-123.047,-0.596
-31.17,-125.284,-0.621
-31.13,-126.631,-0.649
-31.10,-127.562,-0.623
-31.07,-129.319,-0.629
-31.03,-130.852,-0.618
-31.00,-131.780,-0.640
-30.97,-133.016,-0.666
-30.93,-133.766,-0.669
-30.90,-135.056,-0.692
-30.87,-135.954,-0.676
-30.83,-138.309,-0.659
-30.80,-139.258,-0.676
-30.77,-140.620,-0.709
-30.73,-140.962,-0.700
-30.70,-142.996,-0.695
-30.67,-144.723,-0.697
-30.63,-144.303,-0.699
-30.60,-145.928,-0.703
-30.57,-146.942,-0.711
-30.53,-147.786,-0.726
-30.50,-148.582,-0.739
-30.47,-149.896,-0.737
-30.43,-150.414,-0.731
-30.40,-151.298,-0.718
-30.37,-153.228,-0.735
-30.33,-153.183,-0.736
-30.30,-155.149,-0.719
-30.27,-154.838,-0.786
-30.23,-155.967,-0.751
-30.20,-156.847,-0.767
-30.17,-156.513,-0.719
-30.13,-157.588,-0.722
-30.10,-158.842,-0.724
-30.07,-160.065,-0.738
-30.03,-160.238,-0.705
-30.00,-161.493,-0.758
-29.97,-160.928,-0.763
-29.93,-161.463,-0.711
-29.90,-162.508,-0.722
-29.87,-162.590,-0.751
-29.83,-163.696,-0.736
-29.80,-163.695,-0.720
-29.77,-165.398,-0.744
-29.73,-163.221,-0.691
-29.70,-165.231,-0.741
-29.67,-165.757,-0.711
-29.63,-166.657,-0.729
-29.60,-166.317,-0.725
-29.57,-166.562,-0.706
-29.53,-166.460,-0.705
-29.50,-166.925,-0.690
-29.47,-168.178,-0.727
-29.43,-167.077,-0.692
-29.40,-168.257,-0.717
-29.37,-168.721,-0.714
-29.33,-168.305,-0.703
-29.30,-167.942,-0.679
-29.27,-168.202,-0.682
-29.23,-166.936,-0.717
-29.20,-168.453,-0.693
-29.17,-167.880,-0.716
-29.13,-168.257,-0.683
-29.10,-168.618,-0.709
-29.07,-168.830,-0.701
-29.03,-167.547,-0.714
-29.00,-168.031,-0.707
-28.97,-167.070,-0.718
-28.93,-167.996,-0.669
-28.90,-168.522,-0.703
-28.87,-168.422,-0.723
-28.83,-166.718,-0.718
-28.80,-166.799,-0.721
-28.77,-165.909,-0.708
-28.73,-166.375,-0.695
-28.70,-165.869,-0.710
-28.67,-166.602,-0.732
-28.63,-164.895,-0.739
-28.60,-164.483,-0.722
-28.57,-164.578,-0.723
-28.53,-163.837,-0.763
-28.50,-163.523,-0.747
-28.47,-163.217,-0.754
-28.43,-162.879,-0.746
-28.40,-160.898,-0.736
-28.37,-160.800,-0.736
-28.33,-161.530,-0.741
-28.30,-159.073,-0.741
-28.27,-159.662,-0.763
-28.23,-159.041,-0.739
-28.20,-158.013,-0.768
-28.17,-157.412,-0.785
-28.13,-156.730,-0.773
-28.10,-155.620,-0.789
-28.07,-154.841,-0.764
-28.03,-154.154,-0.765
-28.00,-153.420,-0.782
-27.97,-152.502,-0.782
-27.93,-151.756,-0.749
-27.90,-150.394,-0.797
-27.87,-150.503,-0.753
-27.83,-148.829,-0.767
-27.80,-147.391,-0.781
-27.77,-146.754,-0.762
-27.73,-146.072,-0.789
-27.70,-144.196,-0.743
-27.67,-144.340,-0.756
-27.63,-142.502,-0.769
-27.60,-141.378,-0.756
-27.57,-141.401,-0.737
-27.53,-139.441,-0.689
-27.50,-138.058,-0.710
-27.47,-136.360,-0.724
-27.43,-134.926,-0.717
-27.40,-134.112,-0.693
-27.37,-133.412,-0.699
-27.33,-131.544,-0.726
-27.30,-130.426,-0.683
-27.27,-129.187,-0.671
-27.23,-128.014,-0.667
-27.20,-126.790,-0.666
-27.17,-124.424,-0.649
-27.13,-124.555,-0.654
-27.10,-122.000,-0.616
-27.07,-120.762,-0.640
-27.03,-120.250,-0.622
-27.00,-116.683,-0.644
-26.97,-115.939,-0.637
-26.93,-114.335,-0.618
-26.90,-113.079,-0.624
-26.87,-112.405,-0.581
-26.83,-109.715,-0.568
-26.80,-107.951,-0.625
-26.77,-106.123,-0.575
-26.73,-105.740,-0.565
-26.70,-103.884,-0.567
-26.67,-101.624,-0.554
-26.63,-100.548,-0.534
-26.60,-98.201,-0.559
-26.57,-95.624,-0.560
-26.53,-94.776,-0.527
-26.50,-93.040,-0.511
-26.47,-91.303,-0.509
-26.43,-88.584,-0.487
-26.40,-88.139,-0.481
-26.37,-85.258,-0.454
-26.33,-83.017,-0.453
-26.30,-81.308,-0.462
-26.27,-79.861,-0.452
-26.23,-77.644,-0.453
-26.20,-76.031,-0.425
-26.17,-74.566,-0.388
-26.13,-72.361,-0.434
-26.10,-69.636,-0.400
-26.07,-68.633,-0.380
-26.03,-65.986,-0.374
-26.00,-63.398,-0.377
-25.97,-61.817,-0.397
-25.93,-60.562,-0.356
-25.90,-59.035,-0.342
-25.87,-55.827,-0.325
-25.83,-54.367,-0.339
-25.80,-51.436,-0.325
-25.77,-49.923,-0.336
-25.73,-47.681,-0.322
-25.70,-46.517,-0.298
-25.67,-43.725,-0.295
-25.63,-41.007,-0.283
-25.60,-38.787,-0.259
-25.57,-37.351,-0.259
-25.53,-34.924,-0.218
-25.50,-32.974,-0.236
-25.47,-29.719,-0.204
-25.43,-29.920,-0.235
-25.40,-25.827,-0.188
-25.37,-24.153,-0.172
-25.33,-21.612,-0.166
-25.30,-20.455,-0.149
-25.27,-17.678,-0.149
-25.23,-15.488,-0.139
-25.20,-13.117,-0.108
-25.17,-11.103,-0.110
-25.13,-8.907,-0.099
-25.10,-6.236,-0.096
-25.07,-4.675,-0.063
-25.03,-2.575,-0.058
-25.00,0.316,-0.045
-24.97,2.222,-0.034
-24.93,4.932,-0.001
-24.90,5.370,0.001
-24.87,9.098,0.017
-24.83,11.492,0.040
-24.80,12.505,0.023
-24.77,15.959,0.063
-24.73,17.322,0.080
-24.70,19.687,0.070
-24.67,21.855,0.086
-24.63,24.747,0.103
-24.60,26.183,0.108
-24.57,28.089,0.112
-24.53,30.134,0.141
-24.50,32.976,0.148
-24.47,34.855,0.130
-24.43,36.906,0.154
-24.40,39.193,0.181
-24.37,41.732,0.214
-24.33,43.362,0.202
-24.30,44.867,0.243
-24.27,47.182,0.232
-24.23,50.179,0.259
-24.20,51.334,0.244
-24.17,54.854,0.255
-24.13,56.071,0.286
-24.10,58.325,0.278
-24.07,60.698,0.307
-24.03,62.824,0.297
-24.00,64.380,0.274
-23.97,67.087,0.288
-23.93,67.844,0.326
-23.90,69.447,0.338
-23.87,71.476,0.334
-23.83,74.449,0.358
-23.80,75.797,0.367
-23.77,77.769,0.379
-23.73,79.894,0.360
-23.70,80.766,0.381
-23.67,84.071,0.375
-23.63,86.386,0.388
-23.60,87.479,0.416
-23.57,90.069,0.411
-23.53,90.386,0.419
-23.50,92.531,0.404
-23.47,93.461,0.447
-23.43,95.859,0.427
-23.40,97.940,0.460
-23.37,99.391,0.458
-23.33,101.595,0.480
-23.30,102.587,0.462
-23.27,105.454,0.497
-23.23,106.746,0.534
-23.20,108.680,0.499
-23.17,110.165,0.529
-23.13,111.862,0.537
-23.10,113.214,0.534
-23.07,114.499,0.537
-23.03,116.643,0.557
-23.00,116.404,0.574
-22.97,119.398,0.553
-22.93,121.347,0.584
-22.90,122.154,0.602
-22.87,123.883,0.606
-22.83,124.878,0.590
-22.80,126.642,0.604
-22.77,128.074,0.599
