Trigger_Date,2024/01/18
Trigger_Time,T 10:33:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,-0.251,3.340
-41.63,2.979,3.221
-41.60,4.034,3.169
-41.57,6.284,3.131
-41.53,8.137,3.107
-41.50,11.065,3.077
-41.47,13.770,2.981
-41.43,16.093,2.945
-41.40,18.150,2.876
-41.37,20.245,2.858
-41.33,21.237,2.813
-41.30,23.931,2.748
-41.27,25.418,2.701
-41.23,28.087,2.642
-41.20,31.137,2.610
-41.17,32.646,2.575
-41.13,35.744,2.529
-41.10,37.036,2.514
-41.07,38.824,2.457
-41.03,41.153,2.390
-41.00,43.084,2.404
-40.97,45.421,2.351
-40.93,47.323,2.335
-40.90,49.664,2.279
-40.87,50.947,2.255
-40.83,53.842,2.194
-40.80,56.275,2.175
-40.77,58.548,2.153
-40.73,60.560,2.085
-40.70,61.928,2.065
-40.67,64.663,2.038
-40.63,65.593,1.999
-40.60,67.829,1.991
-40.57,70.420,1.967
-40.53,71.820,1.954
-40.50,74.686,1.859
-40.47,76.639,1.872
-40.43,77.666,1.860
-40.40,80.620,1.819
-40.37,81.821,1.804
-40.33,84.265,1.784
-40.30,84.588,1.762
-40.27,87.386,1.754
-40.23,88.828,1.708
-40.20,91.763,1.664
-40.17,92.662,1.671
-40.13,93.842,1.627
-40.10,96.971,1.599
-40.07,98.254,1.633
-40.03,99.800,1.593
-40.00,101.291,1.571
-39.97,103.035,1.590
-39.93,104.687,1.553
-39.90,106.106,1.543
-39.87,108.172,1.522
-39.83,109.189,1.501
-39.80,111.801,1.514
-39.77,112.635,1.481
-39.73,114.801,1.465
-39.70,116.990,1.446
-39.67,116.416,1.463
-39.63,119.833,1.409
-39.60,120.702,1.432
-39.57,121.119,1.417
-39.53,123.406,1.412
-39.50,125.157,1.388
-39.47,126.285,1.383
-39.43,128.051,1.399
-39.40,128.963,1.386
-39.37,129.948,1.361
-39.33,131.410,1.362
-39.30,133.969,1.399
-39.27,135.265,1.338
-39.23,135.486,1.355
-39.20,136.881,1.340
-39.17,138.684,1.347
-39.13,139.457,1.326
-39.10,140.685,1.349
-39.07,141.692,1.325
-39.03,142.407,1.339
-39.00,143.869,1.323
-38.97,144.605,1.303
-38.93,146.343,1.311
-38.90,145.989,1.287
-38.87,147.947,1.345
-38.83,149.601,1.308
-38.80,150.878,1.306
-38.77,150.372,1.285
-38.73,152.276,1.295
-38.70,152.822,1.257
-38.67,153.560,1.273
-38.63,153.865,1.268
-38.60,154.275,1.305
-38.57,156.495,1.266
-38.53,156.728,1.294
-38.50,156.917,1.239
-38.47,157.726,1.281
-38.43,158.032,1.248
-38.40,159.623,1.285
-38.37,160.005,1.269
-38.33,161.333,1.231
-38.30,161.148,1.223
-38.27,162.605,1.265
-38.23,162.409,1.228
-38.20,163.267,1.231
-38.17,163.611,1.247
-38.13,163.939,1.232
-38.10,164.557,1.209
-38.07,165.046,1.200
-38.03,165.621,1.207
-38.00,164.940,1.216
-37.97,165.104,1.197
-37.93,166.616,1.164
-37.90,166.312,1.201
-37.87,167.309,1.182
-37.83,167.360,1.139
-37.80,167.194,1.188
-37.77,167.913,1.110
-37.73,167.112,1.132
-37.70,167.560,1.144
-37.67,167.977,1.139
-37.63,167.940,1.150
-37.60,168.131,1.111
-37.57,167.750,1.141
-37.53,168.335,1.126
-37.50,167.714,1.121
-37.47,167.941,1.115
-37.43,167.139,1.096
-37.40,167.935,1.076
-37.37,168.394,1.079
-37.33,168.570,1.067
-37.30,167.883,1.080
-37.27,168.111,1.072
-37.23,167.274,1.067
-37.20,167.475,1.020
-37.17,167.103,1.050
-37.13,166.045,1.076
-37.10,167.209,1.027
-37.07,165.961,1.026
-37.03,166.260,1.060
-37.00,165.484,1.013
-36.97,165.204,1.013
-36.93,165.064,1.012
-36.90,163.992,0.996
-36.87,164.028,0.980
