Trigger_Date,2024/01/17
Trigger_Time,T 10:32:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,-0.424,2.311
-41.63,2.741,2.251
-41.60,4.733,2.218
-41.57,6.562,2.243
-41.53,9.357,2.164
-41.50,11.375,2.108
-41.47,12.857,2.127
-41.43,15.607,2.072
-41.40,18.858,2.081
-41.37,19.977,2.019
-41.33,22.424,1.983
-41.30,23.507,1.932
-41.27,26.205,1.936
-41.23,28.124,1.941
-41.20,30.972,1.865
-41.17,32.499,1.885
-41.13,34.963,1.800
-41.10,38.083,1.804
-41.07,39.510,1.809
-41.03,41.023,1.777
-41.00,42.554,1.795
-40.97,44.178,1.723
-40.93,47.207,1.724
-40.90,48.878,1.715
-40.87,50.996,1.659
-40.83,53.962,1.667
-40.80,55.191,1.647
-40.77,57.407,1.645
-40.73,60.196,1.623
-40.70,61.526,1.640
-40.67,63.766,1.597
-40.63,66.192,1.560
-40.60,68.414,1.543
-40.57,69.603,1.543
-40.53,71.551,1.495
-40.50,74.712,1.578
-40.47,76.366,1.523
-40.43,77.417,1.482
-40.40,80.250,1.484
-40.37,82.604,1.478
-40.33,82.795,1.451
-40.30,86.110,1.470
-40.27,87.603,1.484
-40.23,88.761,1.442
-40.20,90.804,1.436
-40.17,92.836,1.467
-40.13,93.941,1.404
-40.10,95.112,1.440
-40.07,97.658,1.411
-40.03,99.796,1.415
-40.00,101.585,1.421
-39.97,102.701,1.431
-39.93,104.467,1.451
-39.90,106.129,1.392
-39.87,108.023,1.404
-39.83,109.708,1.375
-39.80,111.348,1.398
-39.77,113.119,1.366
-39.73,114.589,1.364
-39.70,116.337,1.406
-39.67,117.662,1.399
-39.63,119.113,1.354
-39.60,120.892,1.406
-39.57,122.694,1.384
-39.53,123.299,1.417
-39.50,125.029,1.361
-39.47,126.926,1.413
-39.43,127.049,1.367
-39.40,129.301,1.384
-39.37,130.879,1.379
-39.33,131.974,1.335
-39.30,132.742,1.342
-39.27,134.904,1.361
-39.23,135.735,1.355
-39.20,137.049,1.348
-39.17,138.100,1.381
-39.13,138.237,1.344
-39.10,140.052,1.366
-39.07,140.820,1.354
-39.03,143.021,1.375
-39.00,143.885,1.354
-38.97,144.885,1.299
-38.93,146.897,1.319
-38.90,146.655,1.268
-38.87,147.414,1.302
-38.83,149.742,1.335
-38.80,150.664,1.335
-38.77,150.281,1.324
-38.73,151.771,1.315
-38.70,152.865,1.316
-38.67,153.444,1.254
-38.63,154.005,1.263
-38.60,154.771,1.321
-38.57,155.362,1.260
-38.53,156.666,1.263
-38.50,157.060,1.245
-38.47,158.055,1.200
-38.43,160.090,1.233
-38.40,159.847,1.248
-38.37,160.080,1.227
-38.33,160.147,1.187
-38.30,161.131,1.211
-38.27,161.438,1.200
-38.23,161.373,1.172
-38.20,162.583,1.147
-38.17,163.616,1.167
-38.13,164.242,1.217
-38.10,164.210,1.182
-38.07,165.112,1.149
-38.03,165.014,1.122
-38.00,164.788,1.111
-37.97,166.017,1.136
-37.93,166.157,1.111
-37.90,166.009,1.102
-37.87,167.334,1.095
-37.83,167.899,1.074
-37.80,167.366,1.071
-37.77,167.628,1.104
-37.73,167.450,1.065
-37.70,168.490,1.062
-37.67,168.017,1.053
-37.63,167.751,1.059
-37.60,168.586,1.075
-37.57,168.100,1.013
-37.53,168.678,1.010
-37.50,168.382,1.008
-37.47,167.570,1.075
-37.43,168.183,1.014
-37.40,167.486,1.028
-37.37,169.527,1.009
-37.33,168.573,0.980
-37.30,168.064,0.986
-37.27,168.375,0.998
-37.23,167.306,1.001
-37.20,168.347,1.021
-37.17,167.269,0.977
-37.13,167.097,0.981
-37.10,165.807,1.022
-37.07,166.485,1.024
-37.03,165.309,0.980
-37.00,165.558,1.044
-36.97,164.396,0.998
-36.93,164.859,0.977
-36.90,164.139,0.997
-36.87,163.499,0.964
-36.83,163.295,0.990
-36.80,163.446,1.007
-36.77,162.617,1.036
-36.73,161.651,0.942
-36.70,161.156,1.020
-36.67,160.203,0.916
-36.63,160.507,0.885
-36.60,159.361,0.925
-36.57,158.732,0.957
-36.53,157.345,0.932
-36.50,157.644,0.933
-36.47,155.848,0.887
-36.43,156.162,0.881
-36.40,154.639,0.918
-36.37,154.734,0.944
-36.33,153.844,0.894
-36.30,152.423,0.946
-36.27,151.916,0.924
-36.23,150.640,0.936
-36.20,149.060,0.925
-36.17,149.521,0.919
-36.13,148.330,0.938
-36.10,146.896,0.919
-36.07,146.075,0.863
-36.03,144.456,0.891
-36.00,143.271,0.932
-35.97,143.253,0.931
-35.93,141.384,0.906
-35.90,140.227,0.893
-35.87,138.747,0.905
-35.83,138.714,0.912
-35.80,136.457,0.885
-35.77,134.365,0.879
-35.73,134.738,0.863
-35.70,133.618,0.904
-35.67,131.259,0.826
-35.63,129.609,0.825
-35.60,129.062,0.890
-35.57,128.101,0.828
-35.53,127.465,0.850
-35.50,125.058,0.786
-35.47,124.252,0.803
-35.43,122.638,0.769
-35.40,120.331,0.752
-35.37,118.947,0.782
-35.33,118.461,0.784
-35.30,115.851,0.786
-35.27,115.494,0.735
-35.23,112.924,0.730
-35.20,112.141,0.741
-35.17,108.913,0.727
-35.13,108.635,0.709
-35.10,105.433,0.682
-35.07,104.381,0.712
-35.03,103.168,0.700
-35.00,101.538,0.671
-34.97,100.385,0.661
-34.93,98.488,0.647
-34.90,95.629,0.624
-34.87,94.459,0.665
-34.83,93.024,0.597
-34.80,90.458,0.571
-34.77,88.771,0.588
-34.73,87.420,0.545
-34.70,86.342,0.554
-34.67,82.751,0.494
-34.63,82.387,0.536
-34.60,80.436,0.494
-34.57,78.767,0.496
-34.53,74.874,0.508
-34.50,73.466,0.437
-34.47,71.225,0.435
-34.43,69.647,0.446
-34.40,68.536,0.429
-34.37,66.611,0.388
-34.33,64.451,0.390
-34.30,63.219,0.356
-34.27,59.864,0.376
-34.23,58.268,0.373
-34.20,55.930,0.342
-34.17,53.652,0.304
-34.13,52.116,0.287
-34.10,49.704,0.283
-34.07,46.883,0.258
-34.03,45.541,0.286
-34.00,42.718,0.206
-33.97,41.860,0.223
-33.93,39.559,0.184
-33.90,36.038,0.161
-33.87,35.129,0.193
-33.83,33.306,0.178
-33.80,30.792,0.131
-33.77,28.211,0.137
-33.73,25.893,0.132
-33.70,24.697,0.096
-33.67,21.750,0.115
-33.63,20.224,0.082
-33.60,17.777,0.085
-33.57,15.584,0.047
-33.53,12.448,0.044
-33.50,11.866,0.005
-33.47,9.473,-0.009
-33.43,7.302,-0.015
-33.40,4.265,-0.039
-33.37,3.064,-0.036
-33.33,0.462,-0.036
-33.30,-1.747,-0.097
-33.27,-5.146,-0.122
-33.23,-6.875,-0.116
-33.20,-9.568,-0.108
-33.17,-11.040,-0.159
-33.13,-12.901,-0.148
-33.10,-15.388,-0.177
-33.07,-18.578,-0.201
-33.03,-19.099,-0.195
-33.00,-21.497,-0.171
-32.97,-24.055,-0.200
-32.93,-26.137,-0.198
-32.90,-29.374,-0.193
-32.87,-30.790,-0.216
-32.83,-32.301,-0.236
-32.80,-34.902,-0.292
-32.77,-36.708,-0.269
-32.73,-39.592,-0.279
-32.70,-41.922,-0.326
-32.67,-43.462,-0.324
-32.63,-45.329,-0.314
-32.60,-47.761,-0.334
-32.57,-49.104,-0.388
-32.53,-51.933,-0.338
-32.50,-53.422,-0.376
-32.47,-56.135,-0.379
-32.43,-57.659,-0.413
-32.40,-60.409,-0.388
-32.37,-62.408,-0.455
-32.33,-63.359,-0.477
-32.30,-66.994,-0.416
-32.27,-67.735,-0.486
-32.23,-70.374,-0.461
-32.20,-72.123,-0.498
-32.17,-73.285,-0.496
-32.13,-75.454,-0.506
-32.10,-77.586,-0.528
-32.07,-80.108,-0.525
-32.03,-80.135,-0.538
-32.00,-83.699,-0.578
-31.97,-85.626,-0.566
-31.93,-87.453,-0.563
-31.90,-89.029,-0.591
-31.87,-91.205,-0.587
-31.83,-93.651,-0.626
-31.80,-94.687,-0.618
-31.77,-96.461,-0.665
-31.73,-98.594,-0.644
-31.70,-99.447,-0.665
-31.67,-102.005,-0.675
-31.63,-103.534,-0.697
-31.60,-105.411,-0.730
-31.57,-106.475,-0.706
-31.53,-108.819,-0.717
-31.50,-110.249,-0.722
-31.47,-111.521,-0.796
-31.43,-113.213,-0.754
-31.40,-114.792,-0.745
-31.37,-115.897,-0.789
-31.33,-117.159,-0.821
-31.30,-118.958,-0.791
-31.27,-121.304,-0.850
-31.23,-122.898,-0.798
-31.20,-122.765,-0.840
-31.17,-125.527,-0.853
-31.13,-125.725,-0.856
-31.10,-128.334,-0.871
-31.07,-129.349,-0.872
-31.03,-130.522,-0.862
-31.00,-130.797,-0.903
-30.97,-133.675,-0.913
-30.93,-134.563,-0.910
-30.90,-135.420,-0.920
-30.87,-136.700,-0.909
-30.83,-137.869,-0.889
-30.80,-139.720,-0.910
-30.77,-140.673,-0.991
-30.73,-142.043,-0.942
-30.70,-143.329,-0.926
-30.67,-145.160,-0.958
-30.63,-144.910,-0.953
-30.60,-145.044,-0.940
-30.57,-147.175,-0.942
-30.53,-147.965,-0.970
-30.50,-148.381,-0.986
-30.47,-149.684,-0.984
-30.43,-150.699,-0.970
-30.40,-151.830,-0.980
-30.37,-152.463,-0.953
-30.33,-153.972,-0.986
-30.30,-154.898,-0.962
-30.27,-154.917,-0.987
-30.23,-155.836,-0.983
-30.20,-156.962,-0.992
-30.17,-155.795,-0.961
-30.13,-158.668,-0.963
-30.10,-158.631,-0.946
-30.07,-158.805,-0.943
-30.03,-160.896,-0.976
-30.00,-160.625,-0.951
-29.97,-160.902,-0.986
-29.93,-161.558,-0.995
-29.90,-162.184,-0.945
-29.87,-162.076,-0.967
-29.83,-162.549,-0.939
-29.80,-163.927,-0.909
-29.77,-164.891,-0.981
-29.73,-165.505,-0.973
-29.70,-164.536,-0.957
-29.67,-165.078,-0.921
-29.63,-166.032,-0.928
-29.60,-166.450,-0.908
-29.57,-165.618,-0.954
-29.53,-166.858,-0.919
-29.50,-166.621,-0.913
-29.47,-167.486,-0.935
-29.43,-167.416,-0.917
-29.40,-167.617,-0.907
-29.37,-167.690,-0.933
-29.33,-168.742,-0.881
-29.30,-167.928,-0.899
-29.27,-167.795,-0.919
-29.23,-169.206,-0.891
-29.20,-169.088,-0.913
-29.17,-167.703,-0.889
-29.13,-168.161,-0.898
-29.10,-168.796,-0.892
-29.07,-167.606,-0.918
-29.03,-168.827,-0.916
-29.00,-168.320,-0.905
-28.97,-168.325,-0.907
-28.93,-168.091,-0.877
-28.90,-168.169,-0.867
-28.87,-167.323,-0.861
-28.83,-167.078,-0.918
-28.80,-166.884,-0.890
-28.77,-167.376,-0.900
-28.73,-166.234,-0.872
-28.70,-166.253,-0.869
-28.67,-165.608,-0.898
-28.63,-165.046,-0.914
-28.60,-164.852,-0.908
-28.57,-163.562,-0.934
-28.53,-163.919,-0.880
-28.50,-164.279,-0.893
-28.47,-163.484,-0.884
-28.43,-162.786,-0.943
-28.40,-162.181,-0.928
-28.37,-160.858,-0.931
-28.33,-161.453,-0.921
-28.30,-158.951,-0.945
-28.27,-159.844,-0.913
-28.23,-158.783,-0.904
-28.20,-157.958,-0.906
-28.17,-158.890,-0.896
-28.13,-156.759,-0.899
-28.10,-155.852,-0.923
-28.07,-155.154,-0.896
